inst,rule,tp,sl,period,days,win,tp20,ge18,exp_pips
EURUSD,buy,30.0,150.0,A 2021-23,776,0.8018934758807239,16.036082474226806,0.6752577319587629,-5.632949056482257
EURUSD,buy,30.0,150.0,B 2024-26,679,0.8327697735960011,16.665684830633285,0.727540500736377,-0.06612025874742723
EURUSD,buy,30.0,200.0,A 2021-23,776,0.8325497520448252,16.649484536082475,0.7229381443298969,-7.792632189089973
EURUSD,buy,30.0,200.0,B 2024-26,679,0.8641576007056748,17.28424153166421,0.7731958762886598,-0.46663481329020784
EURUSD,buy,30.0,300.0,A 2021-23,776,0.8704192696593032,17.40721649484536,0.7835051546391752,-7.357969987763249
EURUSD,buy,30.0,300.0,B 2024-26,679,0.8881946486327551,17.76435935198822,0.8188512518409425,-1.9680976183475427
EURUSD,buy,30.0,450.0,A 2021-23,776,0.8793070135892317,17.585051546391753,0.7976804123711341,-8.717054163714812
EURUSD,buy,30.0,450.0,B 2024-26,679,0.8934872096442222,17.87039764359352,0.8291605301914581,-0.28042487503674546
EURUSD,buy,30.0,600.0,A 2021-23,776,0.8804018805950924,17.6069587628866,0.7989690721649485,-7.271417530752872
EURUSD,buy,30.0,600.0,B 2024-26,679,0.8934872096442222,17.87039764359352,0.8291605301914581,0.7984122316965677
EURUSD,buy,30.0,900.0,A 2021-23,776,0.8804018805950924,17.6069587628866,0.7989690721649485,-6.82500805049268
EURUSD,buy,30.0,900.0,B 2024-26,679,0.8934872096442222,17.87039764359352,0.8291605301914581,0.8561526021758386
EURUSD,buy,30.0,1200.0,A 2021-23,776,0.8804018805950924,17.6069587628866,0.7989690721649485,-6.82500805049268
EURUSD,buy,30.0,1200.0,B 2024-26,679,0.8934872096442222,17.87039764359352,0.8291605301914581,0.8561526021758386
EURUSD,buy,50.0,50.0,A 2021-23,776,0.47369098988858116,9.469072164948454,0.24484536082474226,-2.630901011141882
EURUSD,buy,50.0,50.0,B 2024-26,679,0.48566598059394295,9.71281296023564,0.28865979381443296,-1.4334019406057041
EURUSD,buy,50.0,75.0,A 2021-23,776,0.5782829909190442,11.561855670103093,0.37757731958762886,-2.7146261351194694
EURUSD,buy,50.0,75.0,B 2024-26,679,0.6014407527197883,12.03240058910162,0.44329896907216493,0.1800940899735372
EURUSD,buy,50.0,100.0,A 2021-23,776,0.6424937206157016,12.846649484536082,0.4832474226804124,-3.625941907644748
EURUSD,buy,50.0,100.0,B 2024-26,679,0.6652455160246986,13.310751104565538,0.5301914580265096,-0.2131725962952073
EURUSD,buy,50.0,150.0,A 2021-23,776,0.7123075932247054,14.243556701030927,0.5992268041237113,-7.324743994332453
EURUSD,buy,50.0,150.0,B 2024-26,679,0.7399294325198471,14.80559646539028,0.6347569955817378,-1.978793002058218
EURUSD,buy,50.0,200.0,A 2021-23,776,0.752688864558511,15.051546391752577,0.654639175257732,-10.173452695304947
EURUSD,buy,50.0,200.0,B 2024-26,679,0.7760952660982064,15.519882179675994,0.6833578792341679,-3.9604969126727414
EURUSD,buy,50.0,300.0,A 2021-23,776,0.7983512590970567,15.96520618556701,0.7177835051546392,-10.75953500354221
EURUSD,buy,50.0,300.0,B 2024-26,679,0.808732725668921,16.172312223858615,0.7319587628865979,-4.626227580123486
EURUSD,buy,50.0,450.0,A 2021-23,776,0.8076898306176338,16.1520618556701,0.7319587628865979,-15.260449539511804
EURUSD,buy,50.0,450.0,B 2024-26,679,0.8137312555130843,16.272459499263622,0.7437407952871871,-0.7970964422228594
EURUSD,buy,50.0,600.0,A 2021-23,776,0.8096863528047916,16.192010309278352,0.7358247422680413,-12.990165518129691
EURUSD,buy,50.0,600.0,B 2024-26,679,0.8137312555130843,16.272459499263622,0.7437407952871871,0.5074830932078963
EURUSD,buy,50.0,900.0,A 2021-23,776,0.8096863528047916,16.192010309278352,0.7358247422680413,-11.767785148451065
EURUSD,buy,50.0,900.0,B 2024-26,679,0.8137312555130843,16.272459499263622,0.7437407952871871,0.5652234636871692
EURUSD,buy,50.0,1200.0,A 2021-23,776,0.8096863528047916,16.192010309278352,0.7358247422680413,-11.767785148451065
EURUSD,buy,50.0,1200.0,B 2024-26,679,0.8137312555130843,16.272459499263622,0.7437407952871871,0.5652234636871692
EURUSD,sell,10.0,10.0,A 2021-23,776,0.44863785663682615,8.974226804123711,0.005154639175257732,-1.0272428672634766
EURUSD,sell,10.0,10.0,B 2024-26,679,0.448029991179065,8.96318114874816,0.011782032400589101,-1.0394001764187004
EURUSD,sell,10.0,20.0,A 2021-23,776,0.6317382623816578,12.637886597938145,0.11469072164948453,-1.0478521285502673
EURUSD,sell,10.0,20.0,B 2024-26,679,0.6373125551308438,12.755522827687777,0.16789396170839468,-0.880623346074684
EURUSD,sell,10.0,30.0,A 2021-23,776,0.7318219875056353,14.640463917525773,0.29510309278350516,-0.7271204997745863
EURUSD,sell,10.0,30.0,B 2024-26,679,0.7284622169950015,14.568483063328424,0.3402061855670103,-0.8615113201999411
EURUSD,sell,10.0,50.0,A 2021-23,776,0.8215366780446963,16.435567010309278,0.5038659793814433,-0.7077993173182199
EURUSD,sell,10.0,50.0,B 2024-26,679,0.8154954425169068,16.31222385861561,0.561119293078056,-1.0702734489855925
EURUSD,sell,10.0,75.0,A 2021-23,776,0.8734462549108005,17.47422680412371,0.6404639175257731,-0.757068332581954
EURUSD,sell,10.0,75.0,B 2024-26,679,0.868421052631579,17.36966126656848,0.6848306332842415,-1.1842105263157894
EURUSD,sell,10.0,100.0,A 2021-23,776,0.903587299542732,18.077319587628867,0.7358247422680413,-0.6053970502994783
EURUSD,sell,10.0,100.0,B 2024-26,679,0.8957659511908262,17.917525773195877,0.7466863033873343,-1.465745369009115
EURUSD,sell,10.0,150.0,A 2021-23,776,0.9373349648998519,18.746134020618555,0.8324742268041238,-0.02640561602370065
EURUSD,sell,10.0,150.0,B 2024-26,679,0.9341370185239636,18.68041237113402,0.8276877761413843,-0.5380770361658336
EURUSD,sell,10.0,200.0,A 2021-23,776,0.9540799896953693,19.08118556701031,0.8711340206185567,0.5293617569395248
